id_alimento;id_usuario;nome_alimento;estado_alimento;alimento_verificado;grupo_alimentar;marca_alimento;alimento_ativo;dtt_criacao_alimento;id_tabela_nutricional;unidade_medida;porcao_padrao;kcal;qtde_proteina;qtde_gordura;qtde_carboidrato;qtde_alcool;qtde_fibra;qtde_saturada;qtde_monosaturada;qtde_polisaturada;qtde_trans;qtde_acucar;qtde_calcio;qtde_ferro;qtde_sodio;qtde_potassio;qtde_vitamina_a;qtde_vitamina_d;qtde_vitamina_e;qtde_vitamina_c
6400501;;Inhame;Cru(a);;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Cozido(a);;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Assado(a);;VEGANO;;;;;;;90,00;2,01;0,15;20,71;;3,30;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Frito(a);;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Refogado(a);;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Ensopado;;VEGANO;;;;;;;115,74;1,71;1,90;23,40;;1,80;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400501;;Inhame;Sopa;;VEGANO;;;;;;;31,44;0,95;0,12;7,01;;0,71;0,04;0,03;0,03;0,00;3,28;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400508;;Quicaré;Não se aplica;;VEGANO;;;;;;;100,00;1,71;0,12;23,40;;1,80;0,03;0,01;0,05;-;6,47;35,00;0,54;8,00;377,00;1043,46;-;0,77;9,10
6400601;;Mandioca;Cru(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
6400601;;Mandioca;Cozido(a);;VEGANO;;;;;;;125,00;0,60;0,30;30,10;;1,60;0,10;0,10;0,10;-;-;19,00;0,10;1,00;100,00;-;-;-;11,10
