id_alimento,id_usuario,nome_alimento,estado_alimento,alimento_verificado,grupo_alimentar,marca_alimento,alimento_ativo,dtt_criacao_alimento,id_tabela_nutricional,unidade_medida,porcao_padrao,kcal,qtde_proteina,qtde_gordura,qtde_carboidrato,qtde_alcool,qtde_fibra,qtde_saturada,qtde_monosaturada,qtde_polisaturada,qtde_trans,qtde_acucar,qtde_calcio,qtde_ferro,qtde_sodio,qtde_potassio,qtde_vitamina_a,qtde_vitamina_d,qtde_vitamina_e,qtde_vitamina_c
24,,Feijão-verde orgânico,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,24,GRAMA,100,121.3,3.2,3.1,20.3,0.0,5.0,0.5,0.7,1.8,0.0,0.3,128.0,1.1,4.0,418.0,39.6,,0.5,2.2
25,,Feijão orgânico,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,25,GRAMA,100,97.4,5.8,1.8,15.1,0.0,3.8,0.3,0.4,1.0,0.0,0.3,55.2,2.2,5.2,336.6,,,0.7,
26,,Pipoca light,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,26,GRAMA,100,445.9,10.8,17.8,64.8,0.0,12.1,3.8,9.4,3.7,4.2,0.7,6.5,2.7,1072.5,274.1,8.2,,1.2,
27,,Arroz orgânico,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,27,GRAMA,100,135.6,2.5,1.2,27.8,0.0,1.6,0.3,0.2,0.6,0.0,,3.5,0.1,1.2,14.5,,,0.1,
28,,Arroz integral orgânico,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,28,GRAMA,100,130.9,2.6,2.0,25.6,0.0,2.7,0.5,0.6,0.9,0.0,,5.2,0.3,1.2,74.4,,,0.1,
29,,Feijão-de-soja orgânico,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,29,GRAMA,100,196.3,16.6,11.6,9.9,0.0,6.0,1.7,2.6,6.6,0.0,0.8,102.0,5.1,1.0,515.0,0.4,,0.6,1.7
30,,Quinoa,PADRAO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,30,GRAMA,100,135.5,4.4,4.3,19.8,0.0,2.2,0.6,1.1,2.4,0.0,1.9,16.6,1.4,4.3,174.1,0.2,,1.0,
31,,Batata-inglesa,CRU,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,31,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
32,,Batata-inglesa,COZIDO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,32,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
33,,Batata-inglesa,GRELHADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,33,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
34,,Batata-inglesa,ASSADO,TRUE,VEGANO,,TRUE,2024-08-29 00:00:00,34,GRAMA,100,86.0,1.7,0.1,20.0,0.0,2.0,0.0,0.0,0.0,,0.9,8.0,0.3,5.0,328.0,0.2,,0.1,7.4
