id_tabela_nutricional,kcal,porcao_padrao,qtde_acucar,qtde_alcool,qtde_calcio,qtde_carboidrato,qtde_ferro,qtde_fibra,qtde_gordura,qtde_monosaturada,qtde_polisaturada,qtde_potassio,qtde_proteina,qtde_saturada,qtde_sodio,qtde_trans,qtde_vitamina_a,qtde_vitamina_c,qtde_vitamina_d,qtde_vitamina_e,unidade_medida,id_alimento
37,76.0,100,5.7,0.0,27.0,17.7,0.7,2.5,0.1,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,37
38,91.7,100,5.7,0.0,27.0,17.7,0.7,2.5,1.9,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,38
39,76.0,100,5.7,0.0,27.0,17.7,0.7,2.5,0.1,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,39
40,76.0,100,5.7,0.0,27.0,17.7,0.7,2.5,0.1,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,40
41,76.0,100,5.7,0.0,27.0,17.7,0.7,2.5,0.1,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,41
42,90.0,100,5.7,0.0,27.0,20.7,0.7,3.3,0.1,,0.1,230.0,2.0,0.0,27.0,,787.0,12.8,,0.9,GRAMA,42
43,351.3,100,5.7,0.0,27.0,56.9,0.7,8.0,12.6,,0.1,230.0,4.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,43
44,91.7,100,5.7,0.0,27.0,17.7,0.7,2.5,1.9,,0.1,230.0,1.4,0.0,27.0,,787.0,12.8,,0.9,GRAMA,44
45,100.0,100,3.3,0.0,35.0,23.4,0.5,1.8,0.1,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,45
46,100.0,100,3.3,0.0,35.0,23.4,0.5,1.8,0.1,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,46
47,90.0,100,3.3,0.0,35.0,20.7,0.5,3.3,0.1,0.0,0.0,377.0,2.0,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,47
48,115.7,100,3.3,0.0,35.0,23.4,0.5,1.8,1.9,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,48
49,115.7,100,3.3,0.0,35.0,23.4,0.5,1.8,1.9,0.0,0.0,377.0,1.7,0.0,8.0,0.0,1043.5,9.1,,0.8,GRAMA,49
50,100.0,100,6.5,0.0,35.0,23.4,0.5,1.8,0.1,0.0,0.1,377.0,1.7,0.0,8.0,,1043.5,9.1,,0.8,GRAMA,50
51,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,51
52,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,52
53,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,53
54,162.7,100,,0.0,19.0,28.6,0.1,1.5,5.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,54
55,162.7,100,,0.0,19.0,28.6,0.1,1.5,5.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,55
56,125.0,100,,0.0,19.0,30.1,0.1,1.6,0.3,0.1,0.1,100.0,0.6,0.1,1.0,,,11.1,,,GRAMA,56
